GivenName,Surname
Lowell,Cantin
Jacqueline,Girard
Javier,Corbin
Halette,Poisson
Gauthier,Lizotte
Victor,Gilbert
Astolpho,Pelland
Sennet,Lacasse
Alacoque,Émond
Calandre,Aubin
Blanche,Houle
Campbell,Bondy
Gabriel,Sorel
Geoffrey,Sirois
Pinabel,Fortier
Frontino,Hétu
Roslyn,Courcelle
Wyatt,Tétrault
Caroline,Sansouci
Sidney,Théberge
Guerin,Roussel
Roslyn,"de Chateaub"
Bernadette,Rancourt
Nouel,LaGarde
Théophile,Vertefeuille
Yolette,Fournier
Mavise,Grondin
Mireille,Piedalue
Montague,Gosselin
Zdenek,Babin
Serge,Rouleau
Caresse,Goddu
Florismart,Marceau
Corette,Rivière
Javier,Gervais
Dreux,Édouard
Luce,Tollmache
Mariette,Allain
Amélie,Busson
Belle,Martin
Percy,Sorel
Yolette,Duval
Alfred,Beaudouin
Charlotte,Charlebois
Frédérique,Binet
Thierry,Margand
Grégoire,Quirion
Moore,Faubert
Hélène,Meilleur
Vivienne,Racicot
Jacquenett,Chassé
Didier,Bonnet
Caroline,Royer
Eleanor,Baron
Henry,Fréchette
Tristan,Bordeleau
Zara,Jobin
Carole,Jacques
Soren,Jardine
Galatee,Doyon
Rosamonde,Quirion
Blanche,Garceau
Cammile,Chaussée
Barry,Béland
Belda,Lambert
Pomeroy,Bordeaux
Édouard,Chauvin
Alaine,Veilleux
Rosamonde,Bienvenue
Mercer,Turcotte
Cinderella,Laramée
Thiery,Jodoin
Aurélie,Dandonneau
Élisabeth,Louineaux
Frédérique,Moïse
Bernadette,Thibodeau
Karlotta,Adler
Javier,Doucet
Laverne,Fortier
Frédéric,Giguère
Alain,Clavette
Daisi,Narcisse
France,Quiron
Fanette,Baron
Agramant,Fongemie
Nanna,Desaulniers
Verrill,Loiselle
Fabien,Lebel
Avenall,Barjavel
Clovis,Bouvier
Rosemarie,Guibord
Luc,Ailleboust
Mercer,Berie
Oliver,Cormier
Émile,Quessy
Christian,Pirouet
Timothée,Parizeau
Francis,Godin
Yvon,Huot
Peppin,Bilodeau
Belisarda,Doucet
Annette,Paradis
Fantina,Frappier
Archaimbau,Cyr
Somerville,Pelletier
Angelique,Mousseau
Blanche,Édouard
Manville,Adler
Jewel,Paradis
Solaine,Lespérance
Benjamin,"de Launay"
Virginie,Desaulniers
Céline,Therriault
Stéphane,Favreau
Aubine,Pelchat
Harcourt,Chnadonnet
Geoffrey,Therrien
Zacharie,Lajeunesse
Amber,Monjeau
Frontino,Sorel
Angelette,Covillon
Georgette,Barrette
Marjolaine,Lalonde
Slainie,Labossière
Georges,Parenteau
Magnolia,Sicard
Éléonore,Brunelle
Roch,Voisine
Eustache,Daigle
Arber,Coupart
Felicien,Émond
Monique,Vaillancourt
Musette,Artois
Felicienne,Bérubé
Afrodille,D'Aoust
Christian,Avare
Vedette,Demers
Mandel,Brochu
Peppin,Rivière
Alexandrin,Beaulé
Sabine,Faucher
Pryor,Paiement
Alphonse,Maheu
Marlon,Doiron
Manon,Laframboise
Charlotte,Lécuyer
Aimée,"de Launay"
Andrée,Brisebois
Blanche,Morneau
Adrien,Mailly
Corinne,Ouellet
Maryse,Dandonneau
Berangaria,Soucy
Eliot,Marois
Mallory,Villeneuve
Barry,"Du Trieux"
Avenall,Huot
Brier,Bouchard
Ninette,Mainville
Clémence,Daigneault
Nicolas,Sirois
Fusberta,Marier
Manon,Deniger
D'Arcy,Bourgouin
Émile,Chevrette
Aubert,Lajoie
Adorlee,Hervieux
Avent,Brochu
Donatien,Robillard
Noël,Lepage
Fletcher,Cotuand
Gallia,Charest
Joseph,Clavette
Mayhew,Jetté
Maureen,Pitre
Latimer,Nadeau
Amber,Gagné
Minette,Monrency
Denis,Therriault
Guerin,Caron
Clothilde,Sylvain
Platt,D'Aoust
Capucine,Quirion
Talon,Denis
Melville,Allard
Villette,Gregoire
Thomas,Plante
Astolpho,Flamand
Ignace,"Du Trieux"
Astrid,Potvin
Esmeraude,Lépicier
Aymon,Lachance
Thomas,Dennis
Blondelle,Pariseau
Fantina,Talon
Pierpont,Saurel
Roux,Busson
Burrell,Renaud
Hilaire,Binet
Russell,Lapierre
Orlene,Bourgouin
Rabican,Beaujolie
Prunella,Bordeaux
Fabien,Hébert
Ignace,Mainville
Joy,Henrichon
Denise,Brochu
Bartlett,Girard
Iven,Pariseau
Jesper,Poirier
Georgette,Arnoux
Adorlee,DuLin
Faye,Blais
Travers,Flamand
Jeannine,Provencher
Dreux,Bérubé
Orlene,D'Aoust
Logistilla,Mathieu
Ferragus,Lanctot
Bertrand,Barrette
Belle,"De La Ronde"
Anastasie,Paré
Albertine,Guertin
Gabrielle,Paimboeuf
Toussaint,Langelier
Jean,Sauvé
Wyatt,Bisson
Normand,Cormier
Joseph,Quessy
Thérèse,Bourque
Oliver,Dostie
Royale,Chartier
Gabrielle,Méthot
Arianne,Mercure
Blanchefle,Gaillou
Lance,Jolicoeur
Vaden,Ayot
Bayard,Brian
Renée,Beauchemin
Geoffrey,Barrientos
Aurélie,Collin
Sophie,Brasseur
Tanguy,Marcheterre
Lowell,Demers
Aubine,Patry
Anouk,Lessard
Delmare,Fresne
Platt,Giguère
Holly,D'Aoust
Roger,Doiron
Joséphine,Lachance
Marie,Allard
Adèle,Robitaille
Cosette,Bolduc
Marine,Quiron
Algernon,Quinn
Aurore,Dumoulin
Millard,Charpentier
Dominic,L'Angelier
Raoul,Ratté
Latimer,Givry
Avice,Doyon
Senapus,Masson
Oliver,Daigle
Fifine,Barrientos
Flordelis,Grondin
Pénélope,Jetté
Charmaine,Houle
Aloin,Sarrazin
Pinabel,Mathieu
Rosamonde,Quiron
Guy,Sirois
Sennet,"de Brisay"
Manville,Guay
Halette,Panetier
Sennet,Sciverit
Karel,Neufville
Burnell,Mailly
Faye,"Du Trieux"
Mariette,Bonenfant
Garland,Goudreau
Pénélope,Clément
Théodore,Lacharité
Millicent,Beauchesne
Gaspar,Baron
Slainie,Tisserand
Archard,Labonté
Orville,Boucher
Ignace,Marier
Dalmace,Bussière
Gemma,Lemelin
Pensee,Trudeau
Gay,Mazuret
Jeanne,Chartré
Brunella,Potvin
Alexis,Lebel
Burnell,Baril
Methena,Deschamps
Aya,Meilleur
Guerin,Caisse
Vignette,Laux
Luc,Boileau
Vincent,Beaulac
Victor,Simon
Kerman,Marcil
Rachelle,Lacombe
Raoul,Potvin
Dreux,Huot
"La Roux",L'Heureux
Avent,Lapointe
Charles,Allaire
Lyle,Chabot
Rosemarie,Rousseau
Flordelis,Houle
Ignace,Laberge
Pascaline,Austin
Magnolia,Barrientos
Laverne,Senneville
Cher,Harquin
Gallia,Jodoin
Josephe,Austin
Mathilde,Demers
Mason,Doiron
Mallory,Majory
Vedette,Lajeunesse
Eleanor,Douffet
France,Lanteigne
Diane,Courtois
Orson,Foucault
Chapin,Bienvenue
Alexandre,CinqMars
Millicent,Bellemare
Geneviève,Hébert
Burnell,Ayot
Nanna,"de Brisay"
Cendrillon,Bienvenue
Romaine,Guertin
Felicien,Tollmache
Josephe,Boulanger
Véronique,Dubois
Henriette,Deserres
Xavier,Deblois
Loyal,Deblois
Ermengardi,Lamoureux
Gilles,Bondy
Aurore,Boutot
Lundy,Thibodeau
Alphonsine,Charette
Margaux,Simard
Joanna,Chaussée
Avent,Lavallée
Faye,Beaupré
Gaston,Lemaître
Brice,Lachapelle
Margaux,Plouffe
Sébastien,Goddu
Clovis,Boulé
Brie,Dodier
Forrest,Déziel
Suzette,Lampron
Laurence,Charpentier
Philippine,Leclair
Normand,Morin
Vernon,Senneville
Roux,Auclair
Babette,Paradis
Landers,Guérette
Beltane,L'Angelier
Anastasie,Bouchard
Chandler,Duclos
Anton,Aupry
Hortense,Chaloux
Bernadette,Tanguay
Sabine,Lemaître
Valiant,Longpré
Cendrillon,Déziel
Artus,Dupont
Hugues,Chabot
Romain,Briard
Orva,Levasseur
Emmanuel,Rouleau
Noelle,Duperré
Quincy,Lacharité
Quennel,Desaulniers
Senapus,Plourde
Philippe,Quiron
Robert,Charest
Frédérique,Riquier
Toussaint,Martineau
Turner,Chalifour
Evrard,Grenier
Karlotta,Marcil
Paien,Bler
Marcelle,Paiement
Camille,Sansouci
Dorene,Arsenault
Bellamy,Dupuis
Sennet,Artois
Astrid,Compagnon
Lucas,Rousseau
Roxanne,Paradis
Marshall,Chatigny
Philippine,Patel
Bradamate,Gougeon
Gay,Lamarre
Claudette,Tremblay
Leroy,Larivière
Laverne,Couturier
Xavier,Corbeil
Madeleine,Givry
Tabor,Lagrange
Denis,Laberge
Susanne,Marcoux
Cloridan,Boucher
Yseult,Fluet
Zacharie,Brodeur
Halette,Ailleboust
Avril,Ferland
Searlas,Picard
Fortun,Marcoux
Montague,Joly
Marcel,Arcouet
Logistilla,Compagnon
Byron,Tétrault
Rabican,Beauchamp
Prunella,Marcheterre
Belle,Louis
Anaïs,Dubeau
Zurie,Grivois
Sennet,Déziel
Isaac,Gaulin
Turner,Bossé
Noël,Beaujolie
Sidney,Caouette
Paige,Longpré
Hilaire,Fontaine
Mason,Benoit
Lucas,Sacré
Channing,Paquet
Didiane,Croquetaigne
Brigliador,Corbeil
Harcourt,Brodeur
Aymon,Lebel
Albracca,DuLin
Matilda,Rocher
Hardouin,Fongemie
Clarimunda,L'Hiver
Clovis,Josseaume
Rachelle,Arpin
Belda,Busson
Avril,Lacharité
Gilles,Sicard
Gifford,Veilleux
Leone,Blondlot
Henri,Chrétien
Germain,LaGarde
Roch,Lagacé
Roslyn,Michaud
Latimer,Gregoire
Lirienne,Hachée
Blanche,Gilbert
Arno,Benoit
Aubrey,Aubin
Aymon,Ouellet
Claude,Boisclair
Bernadette,Paradis
Maryse,Jomphe
Alacoque,Plouffe
Romain,Senneville
Senior,Levasseur
Odelette,Sylvain
Parfait,Paulet
Véronique,Henrichon
Mavise,Auger
Danielle,Duval
Telford,Larocque
Verney,Grandbois
Odelette,Sirois
Renée,Boisvert
Clarice,Mouet
Chappell,Grimard
Dorene,Lamarre
Yseult,Cinq-Mars
Fanchon,Deschênes
Forrest,Michaud
Marlon,Barrette
Laurette,Artois
Harbin,Bonami
Joy,Leroux
Pansy,Lagrange
Porter,Archambault
Sidney,Guimond
Fitz,Baril
Jay,Renaud
Ernest,Vernadeau
Aubine,Alexandre
Pascaline,Leclair
Émilie,Dagenais
Amaury,Sacré
Marie,Sabourin
Agnès,Voisine
Roger,Frappier
Somerville,Bussière
Arnaud,Gingras
Élodie,Lang
Marguerite,Grandbois
Ancelina,Vernadeau
Renée,Hachée
Blanche,Létourneau
Arber,Labrecque
Lowell,Bernard
Guerin,Briard
Édouard,Bourget
Ermengardi,Brian
Gilbert,Blais
Kari,Courtemanche
Avenall,Desnoyer
Talbot,Lussier
Bradamate,Artois
Lyle,Paimboeuf
Ermengardi,Chartier
Merci,Meilleur
Anastasie,Alexandre
Troy,Tremblay
Namo,Gareau
Magnolia,Couture
Vail,Chicoine
Élodie,Beaulieu
Emmanuelle,Sicard
Aubine,Leblanc
Evrard,Sicard
Mayhew,Devost
D'Arcy,Achin
Nicolas,Parent
Toussaint,L'Anglais
Thibaut,Pépin
Geoffrey,Langlais
Lorraine,Ailleboust
Fayme,Laframboise
Stéphanie,Baron
Joy,Lejeune
Victoire,Guimond
Alexis,Lereau
Melodie,Chicoine
Charlotte,Sauriol
Adélaïde,Beaudoin
Fayme,Bonenfant
Zurie,Grandbois
Hamilton,Sauriol
Tearlach,Austin
Julie,Moïse
Olivier,Grignon
Karlotta,Beaulac
Turner,Mothé
Henriette,Lemaître
Sumner,Bonnet
Florismart,Lemieux
Burnell,Leblanc
Beltane,D'Avis
Searlas,Beaudoin
Clothilde,Angélil
Marie,Léveillé
Germain,Girard
Amedee,Berger
Joséphine,Deschênes
Aurore,Bonsaint
Lucas,Briard
Merlin,Bonnet
Fabien,Laux
Arno,Jalbert
Lyle,Meilleur
Avent,Vachon
Alita,Blais
Frédérique,Leduc
Julien,Robert
Joy,Metivier
Édouard,Noël
Curtis,Guimond
Louis,D'Avis
Jacques,Trépanier
Tempeste,Larivière
Georges,Lambert
Cerise,Mailly
Pierre,Dubé
Romain,Austin
Christiane,Allain
Véronique,Guertin
Normand,Gaillard
Avelaine,Labossière
Iva,Bélair
Vaden,Salmons
Pénélope,Chauvin
Xarles,Briard
Elita,Lafond
Peppin,Courcelle
Christian,Dumoulin
Fletcher,Moreau
Kari,Couet
Julien,Gervais
Sidney,Desaulniers
Margaux,Beauchamps
Leal,Lang
Melisande,Jacques
Joanna,Leblanc
Corette,Perreault
Royden,Chauvin
Robinette,Loiselle
Montague,Pelchat
Evrard,Neufville
Frédéric,Guertin
Eloise,Duplanty
Aymon,Brisette
Forrest,Laprise
Vail,Chalifour
Marcelle,LaCaille
Ormazd,Bizier
Matthieu,Lavoie
Prunella,Rancourt
Donat,Paradis
Aimée,Narcisse
Victorine,Labrie
Dexter,Rivard
Sibyla,Sirois
Coralie,Primeau
Amarante,Mazuret
Julie,Poirier
Gauthier,Doyon
Lorraine,Jodoin
Diane,Baron
Trinette,Létourneau
Lundy,Patel
Hugues,Barteaux
Thomas,Boncoeur
Beaufort,Racine
Neville,Artois
Holly,Gagné
Dorothée,D'Avis
Agnès,Hétu
Joseph,Echeverri
Wyatt,Parrot
Holly,Duffet
Gaspar,Gauthier
Granville,Daoust
Laetitia,Beaulieu
Delit,Laframboise
Jeannine,Clavet
Raymond,Busson
Josephe,Martel
Maurice,Beauchemin
Harcourt,Houle
Alfred,Leclair
Charlotte,Lafrenière
Coralie,Brunelle
Marshall,Royer
Searlas,Lafond
Arlette,Querry
Musette,Brault
Raoul,Corbeil
Tilly,Chaloux
Mayhew,Bérubé
Céline,Piedalue
Aloin,Grandbois
Archaimbau,Dennis
Searlas,Bélanger
Amorette,Guimond
Anastasie,Duhamel
Élisabeth,Blondlot
Élise,Soucy
Guy,Babin
Roxanne,Lereau
Marlon,Bertrand
Octave,Robitaille
Brice,Paré
Arnaude,Petrie
Geoffrey,Rouze
Garland,Thibodeau
Eulalie,Gousse
Laurene,Leduc
Hugh,Ouellet
Gauthier,Josseaume
Alphonse,Gagné
Gaspar,"De La Vergne"
Russell,Langelier
Tyson,Deserres
Charles,Chaloux
Channing,Faure
Mirabelle,Chartier
Audric,Casgrain
Vallis,Duclos
Guillaume,Charest
Anastasie,Nadeau
Valentine,Ricard
Roslyn,Saindon
Platt,Descoteaux
Jacqueline,Bonenfant
Grégoire,Marcoux
Ermengardi,Renaud
Orville,Cantin
Bradamate,Laforge
Voleta,Moquin
Flordelis,Dennis
Ancelote,Fontaine
Roch,Barrientos
Vivienne,Chalut
Fortun,Adler
Searlas,Chrétien
Georges,Guédry
Arianne,Charrette
Denis,Simard
Mallory,Bonenfant
Yolette,Lachapelle
Rachelle,Grandbois
Odette,Bouchard
Fanchon,Truchon
Geoffrey,Duclos
Ormazd,Croquetaigne
Capucine,Pépin
Algernon,Parizeau
Harcourt,DuLin
Namo,Auger
Philippine,Desaulniers
Joséphine,Benjamin
Amaury,DuLin
Ruby,Renaud
René,Parizeau
Jeanette,Gagné
Gabriel,Ouellet
Marphisa,Daoust
Gemma,Coupart
Jules,Ruel
Ignace,Crête
Fabienne,Vadnais
Laurent,Collin
Aubin,Dufresne
Toussaint,Sevier
France,Gabriaux
Michel,Charrette
Marphisa,Despins
Benoît,Létourneau
Christian,Paquin
Fletcher,Lachapelle
Anne,Poisson
Orane,Guérette
Orville,Bolduc
Vachel,Lacroix
Julie,Vertefeuille
Auriville,Laramée
Brier,Bordeaux
Agnès,Fontaine
Bradamate,Lussier
Yolande,Douffet
D'Arcy,Cyr
Rive,Guédry
Avent,Tisserand
Turner,D'Aubigné
Pensee,Monty
Auriville,Vallée
Caroline,Saucier
Hugues,Fresne
Matthieu,Veilleux
Delmar,Vallée
Vick,Duffet
Eugène,Langelier
Henry,Dostie
Orane,Chnadonnet
Germaine,Norbert
Arber,Brault
Tempeste,Bellefeuille
Mercer,Goguen
Ogier,Faubert
Valérie,Beaulieu
Hortense,Gaillard
Afrodille,Séguin
Iven,Margand
Zurie,Casgrain
Tabor,Paulet
Apolline,Lamour
Hélène,Monjeau
Gill,Durand
Dominique,Grivois
Peppin,Bisson
Michel,Breton
Namo,Couturier
Aubine,Douffet
Adélaïde,Bérard
Garland,Beaupré
Huette,Jetté
Delphine,Belisle
Christabel,Boulanger
Gustave,Fortier
Warrane,Cuillerier
Crescent,Courcelle
Jewel,Gaulin
Adorlee,Fréchette
Joanna,Lang
Audric,Pelland
Annot,Marceau
Émilie,Auberjonois
Orva,Forest
Cinderella,Duhamel
Sibyla,Bonenfant
Aubrette,Léveillé
Clarimunda,Coudert
Martine,Gagnon
D'Arcy,Authier
Lundy,Masson
Olivier,Pellerin
Virginie,Bienvenue
Ignace,Lagacé
Suzette,Piedalue
Philippine,Patel
Ganelon,Pelletier
Millard,Marquis
Christelle,Gilbert
Hardouin,Carignan
Vail,Courtemanche
Onfroi,Lambert
André,Truchon
René,Senneville
Yolette,Bonsaint
Sydney,Lazure
Richard,Vaillancourt
Hardouin,Deschamps
Nouel,Angélil
Russell,Chaussée
Marjolaine,Briard
Arthur,Carrière
Viollette,Douffet
Rémy,Maheu
Aubine,Leclair
Fanchon,Hervé
Somerville,Bellemare
Etoile,Talon
Fantina,Lampron
Audrey,Viens
Archard,Caouette
Étienne,Courtemanche
Agate,Bellemare
Florence,Moquin
René,Benoit
Michel,Henrichon
Christabel,Barrière
Archaimbau,Salmons
Fanchon,Fongemie
Claude,Beaulac
Marlon,Picard
Jessamine,Rousseau
Gallia,Dagenais
Grégoire,Gareau
Auriville,Marceau
Ferragus,Bonami
Curtis,Bussière
Vail,Brousseau
Melodie,Roy
Roxanne,Côté
Paien,Huard
Gifford,Lagacé
Belisarda,Leroy
Belle,Laramée
Demi,Chandonnet
Adrien,Martineau
Isabelle,Neufville
Alaine,Audibert
Beltane,Robert
Comforte,Gougeon
Latimer,Émond
Léon,Auberjonois
Harcourt,Covillon
Mariette,Huppé
Agate,Guilmette
Tanguy,Quiron
Clarimunda,Théberge
Anton,Couet
Javier,Rhéaume
Mayhew,Théberge
Cammile,D'Avis
Pénélope,Descoteaux
Corinne,Lanoie
Véronique,Duperré
Pascal,Archambault
Joanna,Beaudoin
Belle,Fortier
Carole,Bélair
Mavise,Veilleux
Trinette,Compagnon
Demi,Bernier
Delmare,Demers
Arianne,Varieur
Trinette,Maheu
Tristan,Abril
Alacoque,Rodrigue
Emmanuelle,Longpré
Roch,Leclerc
Julien,Pichette
Laure,Rodrigue
Merci,Paiement
Leverett,Mothé
Bayard,Bernier
Paige,Lapierre
Isaac,Panetier
Colette,LaCaille
Fayme,Tanguay
Romaine,Paimboeuf
Marjolaine,Adler
Parnella,Chandonnet
Alain,Jetté
Carole,Giguère
André,Lemelin
Harcourt,Hughes
Honoré,Gladu
Linette,Paradis
Pinabel,Lespérance
Loring,Desilets
Dixie,Laderoute
Saville,Fontaine
Talbot,Course
Hugues,Narcisse
Fusberta,Séguin
Luce,Lamare
Turner,Mireault
Elita,Chassé
Gabriel,Lapresse
Garland,Cloutier
Rive,Chartré
Édouard,Blondlot
Patricia,Desroches
Pénélope,Arpin
Pascaline,Bédard
Gabriel,Binet
Crescent,Vernadeau
Honore,Sauriol
Phillipa,Charpie
Forrest,Langlais
Somerville,Thibault
Orville,Tollmache
Evrard,Mireault
Blanchefle,Émond
Comforte,Charbonneau
Grosvenor,Proulx
Delmar,Charpentier
Harbin,Bazin
Turner,Lavoie
Clarimunda,St-Jean
Marmion,Bourassa
Harbin,Bureau
Beaufort,"de Brisay"
Noémi,Lépicier
Channing,Franchet
Joseph,Landry
Timothée,Deserres
Somerville,Ouellet
Julienne,Bourgeois
Grosvenor,Veronneau
Gérard,"De La Vergne"
Talbot,Majory
Marie,Tachel
Ernest,Dionne
Serge,Gamelin
Inès,Sauriol
Victoire,Mailhot
Martin,Bélair
Felicienne,Bisaillon
Eugène,Echeverri
Ansel,Coudert
Marcelle,Gaillou
Capucine,Bertrand
Voleta,Mousseau
Gill,Picard
Caresse,Bellefeuille
Véronique,Noël
Brigliador,Tisserand
Henry,Bonnet
Marc,DuLin
Lowell,Doyon
Henri,Poirier
Mayhew,Lang
Marveille,Robillard
Jacques,Labbé
Bruno,Bazinet
Satordi,Thivierge
Georges,Latourelle
Rive,Quessy
Nicolas,Léveillé
Thérèse,Léveillé
Lorraine,Beaudouin
Yvon,Gour
Amorette,Harquin
Éléonore,Lereau
Florence,Quessy
Dorothée,Laliberté
Pascaline,Barjavel
Aubrette,Dodier
Aubrette,Savoie
Cécile,Garceau
Iven,Devoe
Iva,Bondy
Raison,Caouette
Melodie,Charpentier
Bernadette,Dubé
Pensee,Larivière
Suzette,Garreau
Fabrice,Cotuand
Éléonore,Rouleau
Amedee,D'Aoust
Charlotte,Vadnais
Danielle,Chartré
Bradamate,Vincent
Garland,Riquier
Roxanne,Bertrand
Inès,Montminy
Patrick,Cressac
Beltane,Rodrigue
Pansy,Parmentier
Halette,Mercure
Julie,Perillard
Roux,Duplessis
Andrée,Vachon
Avenall,Boncoeur
Thérèse,Bourget
Élisabeth,Marceau
Josette,D'Aubigné
Vallis,Godin
Archaimbau,Martineau
Emmeline,Sauriol
Dorene,Routhier
Claudette,Bossé
Laurene,Caya
Raina,Fremont
Alphonsine,Dagenais
Luce,Couturier
Saville,Rochefort
Gay,Béland
Marc,Vachon
Agate,Blais
Ansel,Caya
Renée,Gaillard
Somer,Moïse
Alfred,Fluet
Didiane,Chalifour
Zacharie,Potvin
Chappell,Berie
Ansel,Lécuyer
Javier,Fugère
Kari,Bonneville
Roland,Lajoie
Mayhew,Lefèbvre
Brice,Chaussée
Viollette,Lavoie
Algernon,Rodrigue
Eulalie,Gagnon
Carine,Lacharité
Melisande,Brunelle
Satordi,Moreau
Emmeline,Morel
Jolie,Cinq-Mars
Sidney,Brousse
Gilbert,Aubé
Amabella,Huot
Ophelia,Brochu
Millard,Bériault
Comforte,Garreau
Trinette,Laisné
Aimée,Hervieux
Noël,Carrière
Matilda,Côté
Sidney,Bisaillon
Flordelis,Doiron
Fanchon,Coulombe
Dorothée,Rodrigue
Christophe,Chesnay
Vachel,Lamothe
Burkett,Quiron
Geoffrey,Pomerleau
Aubrey,Sansouci
France,Nadeau
Allyriane,Cotuand
Parnella,Lafontaine
Tristan,Michaud
Astrid,Cyr
Cendrillon,Girard
Melisande,Poissonnier
Grosvenor,Charpie
Alphonse,Casgrain
Emmanuel,Brunelle
Auriville,Desjardins
Tanguy,Dostie
Antoine,Ferland
Pomeroy,CinqMars
Charles,Echeverri
Jacques,Lemelin
Théodore,Grimard
Slainie,Aubé
Ruby,Paiement
Fleurette,Marchesseault
Joséphine,Gaillard
Yseult,Pelland
Dielle,Auberjonois
Pensee,Lavoie
Quennel,Léveillé
Lirienne,Deschamps
Honoré,Bois
Laurette,Huppé
Huette,Cinq-Mars
Lowell,Labelle
Michèle,Goguen
Viollette,Demers
Marguerite,Brousseau
Gaetane,"Des Meaux"
Pinabel,LeBatelier
Théodore,Perrault
Robert,Thériault
Gill,Truchon
Burrell,Truchon
Oriel,Caouette
Pénélope,Huot
Thibaut,Corbin
Gradasso,Desnoyers
Rive,Beaulac
Harriette,Perrault
Orva,St-Pierre
Honoré,Duperré
Baptiste,Cantin
Barry,Duhamel
Grosvenor,Devoe
Capucine,Chevrette
Mason,Charlesbois
Babette,Berthelette
Angelette,Dufour
Capucine,Salois
Scoville,Bourdette
Millard,Monrency
Cerise,Houle
Gallia,Bordeleau
Lyle,Brian
Arlette,Bouvier
Quennel,L'Angelier
Lirienne,Guernon
Holly,Aubin
Alexandrin,Abril
Laetitia,Parmentier
Eugène,Royer
Dexter,Marois
Calandre,Courtois
Aubrette,Chrétien
Paien,Louineaux
Garland,Miron
Clarimunda,Robert
Amedee,Therrien
Josette,Vadnais
Jacqueline,Beauchamps
Corinne,Devost
Xavierre,Marcoux
Linette,Duclos
Franck,Therrien
Yvette,Bondy
Guy,Chauvin
Franck,Lachapelle
Daisi,Hébert
Gifford,Mercier
Archard,Forest
Adèle,Rodrigue
Burnell,Théberge
Amarante,Brisebois
Villette,Covillon
Ancelina,Bonami
Millicent,Sevier
Denis,"Des Meaux"
Lance,Laliberté
Eloise,Salmons
Grosvenor,Salmons
Aubrette,Roux
Vachel,Dupuy
Natalie,Giroux
Diane,Dufresne
Vernon,Lemelin
Amélie,Parrot
Talon,Gendron
Gaspar,Cartier
Galatee,Huppé
Marcel,Marquis
Raison,Mazuret
